Token Name,Type,Total SOL Balance,Total USD Investment,Total Token Balance,Profit (SOL),Profit (USD), ROI
BPD,Buy,4.31138416,596.96295810,6266798.40091367,,,
BPD,Sell,0.00000000,0.00000000,0.00000000,,,
BPD,Profit,-4.31138416,-596.96295810,,-4.31138416,-596.96295810,-100.00 %
Win Rate,,,,,,0 / 1,0.00%
Total Invested,,,,,,,596.96 USD
Total Return,,,,,,,-596.96 USD
