Pair Token,Unit Purchased,Price You Purchased,1 SOL Price At Time Of Purchase,Spent On Transaction
SOL/BRANEY,1,32198800.233095,138.46201970387298,138.46201970387298
SOL/KAMAGA,1,10810250.220984,138.46201970387298,138.46201970387298
BPD/SOL,6266798.400913666,4.311384157,138.46201970387298,596.9629580974998
SOL/MFW,1,3326549.366822,138.46201970387298,138.46201970387298
